Age,Gender,Marital Status,Occupation,Monthly Income,Educational Qualifications,Family size,Pin code,Medium (P1),Medium (P2),Meal(P1),Meal(P2),Perference(P1),Perference(P2),Ease and convenient,Time saving,More restaurant choices,Easy Payment option,More Offers and Discount,Good Food quality,Good Tracking system,Health Concern,Late Delivery,Poor Hygiene,Bad past experience,Unavailability,Unaffordable,Long delivery time,Delay of delivery person getting assigned,Delay of delivery person picking up food,Wrong order delivered,Missing item,Order placed by mistake,Influence of time,Order Time,Maximum wait time,Residence in busy location,Google Maps Accuracy,Good Road Condition,Influence of rating,Less Delivery time,High Quality of package,Freshness ,Temperature,Good Taste ,Good Quantity,Output,Reviews,Tokenized_Reviews,Polarity,Subjectivity,Sentiment
20,Female,Single,Student,No Income,Post Graduate,4,560001,Food delivery apps, Web browser,Breakfast, Lunch,Non Veg foods (Lunch / Dinner), Bakery items (snacks),2,2,2,2,2,2,2,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Yes,Weekend (Sat & Sun),30 minutes,Agree,Neutral,Neutral,2,Moderately Important,Moderately Important,Moderately Important,Moderately Important,Moderately Important,Moderately Important,1,"Nil
",['nil'],0.0,0.0,Neutral
24,Female,Single,Student,Below Rs.10000,Graduate,3,560009,Food delivery apps, Web browser,Snacks, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),3,3,3,3,3,2,0,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,Anytime (Mon-Sun),30 minutes,Strongly Agree,Neutral,Disagree,2,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,1,Nil,['nil'],0.0,0.0,Neutral
22,Male,Single,Student,Below Rs.10000,Post Graduate,3,560017,Food delivery apps, Direct call,Lunch, Snacks,Non Veg foods (Lunch / Dinner), Ice cream / Cool drinks,3,3,3,2,2,1,2,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Neutral,Yes,Anytime (Mon-Sun),45 minutes,Agree,Strongly Agree,Neutral,2,Important,Very Important,Very Important,Important,Very Important,Moderately Important,1,"Many a times payment gateways are an issue, so getting the refund and the surcharges are an inconvenience","['many', 'times', 'payment', 'gateways', 'issue', 'getting', 'refund', 'surcharges', 'inconvenience']",0.5,0.5,Positive
22,Female,Single,Student,No Income,Graduate,6,560019,Food delivery apps, Walk-in,Snacks, Dinner,Veg foods (Breakfast / Lunch / Dinner), Bakery items (snacks),0,0,3,0,3,0,0,Strongly agree,Neutral,Agree,Disagree,Disagree,Neutral,Agree,Agree,Agree,Disagree,Disagree,Neutral,Yes,Anytime (Mon-Sun),30 minutes,Disagree,Agree,Agree,2,Very Important,Important,Very Important,Very Important,Very Important,Important,1,nil,['nil'],0.0,0.0,Neutral
22,Male,Single,Student,Below Rs.10000,Post Graduate,4,560010,Walk-in, Direct call,Lunch, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),0,0,0,0,0,2,2,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Disagree,Strongly agree,Strongly agree,Neutral,Neutral,Neutral,Disagree,Yes,Weekend (Sat & Sun),30 minutes,Agree,Agree,Agree,2,Important,Important,Important,Important,Very Important,Very Important,1,NIL,['nil'],0.0,0.0,Neutral
27,Female,Married,Employee,More than 50000,Post Graduate,2,560103,Food delivery apps, Walk-in,Lunch, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),0,0,2,0,0,2,0,Neutral,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Yes,Anytime (Mon-Sun),45 minutes,Neutral,Agree,Neutral,2,Important,Very Important,Very Important,Very Important,Very Important,Very Important,1,NIL,['nil'],0.0,0.0,Neutral
22,Male,Single,Student,No Income,Graduate,3,560009,Food delivery apps, Direct call,Lunch, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),3,3,0,3,0,2,0,Agree,Disagree,Agree,Disagree,Strongly agree,Strongly disagree,Neutral,Disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,No,Anytime (Mon-Sun),45 minutes,Agree,Strongly Agree,Disagree,2,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,1,Nil,['nil'],0.0,0.0,Neutral
24,Female,Single,Student,No Income,Post Graduate,3,560042,Food delivery apps, Direct call,Dinner, Dinner,Non Veg foods (Lunch / Dinner), Ice cream / Cool drinks,3,0,0,0,0,0,0,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Yes,Weekend (Sat & Sun),45 minutes,Agree,Agree,Agree,0,Moderately Important,Important,Important,Moderately Important,Very Important,Very Important,1,NIL,['nil'],0.0,0.0,Neutral
23,Female,Single,Student,No Income,Post Graduate,2,560001,Food delivery apps, Direct call,Dinner, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),0,0,3,0,0,2,0,Agree,Neutral,Agree,Neutral,Neutral,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Yes,Anytime (Mon-Sun),30 minutes,Disagree,Disagree,Neutral,0,Important,Important,Important,Important,Important,Important,1,Nil,['nil'],0.0,0.0,Neutral
23,Female,Single,Student,No Income,Post Graduate,4,560048,Food delivery apps, Walk-in,Lunch, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),2,2,2,2,2,2,2,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Yes,Weekend (Sat & Sun),45 minutes,Agree,Agree,Agree,2,Moderately Important,Very Important,Moderately Important,Moderately Important,Very Important,Very Important,1,Nil,['nil'],0.0,0.0,Neutral
